Date,market-price,n-transactions-per-block,median-confirmation-time,hash-rate,difficulty,miners-revenue,trade-volume,blocks-size,avg-block-size,transaction-fees,transaction-fees-usd,cost-per-transaction-percent,cost-per-transaction,n-unique-addresses,n-transactions,n-transactions-total,n-transactions-excluding-popular,output-volume,estimated-transaction-volume,estimated-transaction-volume-usd,total-bitcoins,market-cap
2013-10-10,125.9,296.109375,5.65,1834.79827783069,189281249.281033,639812.567154158,2387323.354,11488.153294,0.137713708333333,31.05788363,4017.567154158,3.19305935423997,10.6745731781868,67237.0,56853.0,25134237.0,56853.0,753238.364096045,159154.91119424,20037603.3193548,11818230.718085106,1486516816.1679964
2013-10-11,126.8,280.659459459459,6.88333333333333,1665.43228295401,189281249.281033,640204.891697548,1453048.116,11514.729606,0.127686275675676,22.76995908,3034.891697548,2.74773055340139,11.6551346592428,65117.0,51922.0,25191430.0,51922.0,829546.576618549,183749.25703177,23299405.7916284,11822953.036723163,1498399125.670904
2013-10-12,127.41,231.18691588785,5.86666666666667,1853.61672170588,189281249.281033,1337481.29310152,999339.0609,11538.321579,0.107505612149533,32.14776583,6046.79310151949,6.26959353500173,16.7471957364677,55313.0,49474.0,25243347.0,49474.0,697904.05513333,167434.44802833,21332823.0232895,11827814.51822917,1506512219.9138453
2013-10-13,127.59,232.14479638009,4.76666666666667,2154.71182370886,189281249.281033,1310125.63070581,969229.7796,11561.327788,0.118411339366516,30.80432869,5517.8807058114,6.2927114319444,16.8186917430172,66517.0,51304.0,25292785.0,51304.0,712638.692977415,163176.82893155,20819731.6033765,11833386.829268293,1509691976.067073
2013-10-14,132.62,229.808,4.6,2427.57925989907,189281249.281033,919728.251365451,1666687.2618,11587.402639,0.113406824,33.03670276,4650.2513654502,3.74641969349238,14.8845018103842,68679.0,57452.0,25343881.0,57452.0,920794.58641607,185111.78798938,24549525.3231516,11839226.244813282,1567030198.1028705
2013-10-15,135.17,214.715384615385,4.96666666666667,2333.48704052313,189281249.281033,992130.713905087,2871306.8223,11615.616544,0.100830630769231,38.64309771,5389.7139050867,3.40064031524878,16.9325809210159,71738.0,55826.0,25400987.0,55826.0,924504.813257501,215837.98682258,29174820.6788081,11845668.383097166,1599650736.4237096
2013-10-16,141.02,242.028571428571,5.33333333333333,2914.66937941069,267731249.482421,895548.023563815,2806041.3436,11642.010182,0.117534819047619,47.19904597,7122.0235638156,2.32635614133021,15.3210843694624,77361.0,50826.0,25457178.0,50826.0,1022744.33727763,272980.71559021,38495740.5125314,11851489.725378787,1666921033.9682765
2013-10-17,138.19,280.658682634731,6.71666666666667,2382.30967540873,267731249.482421,609714.537160166,3914282.8803,11666.593347,0.133438556886227,36.51952508,5133.2871601661,2.76095675544364,12.6219214416463,65903.0,46870.0,25507804.0,46870.0,847370.727726458,159804.98718391,22083451.1789445,11856214.672256099,1640967277.3904977
2013-10-18,143.94,310.734375,6.56666666666667,2302.45571980844,267731249.482421,1151808.80286843,2455437.9144,11689.030926,0.143193901041667,38.35801158,7485.8028684312,3.55708326668105,12.4042474677827,70030.0,59661.0,25555065.0,59661.0,937574.965087657,224959.77213787,32380709.601525,11860636.15819209,1702404573.7184556
2013-10-19,168.2,248.031390134529,5.7,2914.66937941069,267731249.482421,1163078.62582515,4179716.176,11716.523987,0.130005206278027,36.26226694,6703.625825148,3.26421364787527,18.2103778957733,74510.0,55311.0,25614635.0,55311.0,1007342.93202435,211838.31188994,35631204.0598879,11865981.608687107,1978888646.6362028
2013-10-20,183.18,248.331658291457,5.5,2874.74240161054,267731249.482421,999159.747808438,9980994.6048,11745.515198,0.121697226130653,28.48710739,5408.2478084382,3.80139989005845,19.3014671368937,61813.0,49418.0,25669973.0,49418.0,722759.760742602,143487.2516505,26283994.7573386,11871192.92648342,2162929358.9509163
2013-10-21,186.12,286.497630331754,5.96666666666667,2675.10751260981,267731249.482421,1044811.06851932,2079827.7192,11769.718817,0.139856421800948,37.66450678,7192.0685193192,2.31507616720241,16.7233988814796,79056.0,60451.0,25719387.0,60451.0,1059197.27414242,242481.96168179,45130742.7082148,11876302.469512194,2208288822.759756
2013-10-22,179.8,265.502040816327,4.88333333333333,3313.93915741215,267731249.482421,1462826.7063434,5919618.33,11799.142811,0.134544510204082,41.68008116,10941.706343402,2.02382350278063,18.1715345938982,91759.0,65048.0,25779633.0,65048.0,1207623.10464838,402004.16996896,72280349.760419,11882051.704130117,2140508884.0071273
2013-10-23,189.75,250.289592760181,5.95,2808.19743861029,267731249.482421,1152128.03457543,7949181.57,11832.203127,0.13482763800905,45.77781754,8884.28457543,2.14551661008411,19.8416979742953,87018.0,55314.0,25844793.0,55314.0,1090723.87398023,283000.41913178,53699329.5302553,11887816.165487422,2248740387.524322
2013-10-24,203.7,295.972093023256,6.06666666666667,2781.5794534102,267731249.482421,1217517.34513943,4910689.602,11862.003048,0.15898928372093,50.7649601,10594.845139431,2.52023149637973,18.1437372606615,89418.0,63634.0,25900286.0,63634.0,1029103.30278824,237161.2295226,48309742.4537537,11893290.063713599,2412597937.9755764
2013-10-25,195.33,244.557446808511,5.46666666666667,3194.15822401171,267731249.482421,1343865.19998724,10911606.4986,11896.098975,0.127208842553192,51.0751821,10737.9499872456,1.8023339034534,19.8955556211655,80608.0,57471.0,25963625.0,57471.0,2817468.47749554,381725.79260355,74562499.0692514,11898866.984304952,2329786978.2628922
